filename,source_url,retrieved_at_utc,file_size_bytes,row_count,columns
green_tripdata_2026-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2026-03.parquet,2026-09-15T23:38:03.385953+00:00,1082530,44208,VendorID | lpep_pickup_datetime | lpep_dropoff_datetime | store_and_fwd_flag | RatecodeID | PULocationID | DOLocationID | passenger_count | trip_distance | fare_amount | extra | mta_tax | tip_amount | tolls_amount | ehail_fee | improvement_surcharge | total_amount | payment_type | trip_type | congestion_surcharge | cbd_congestion_fee
green_tripdata_2026-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2026-04.parquet,2026-09-15T23:38:03.981297+00:00,1075896,44238,VendorID | lpep_pickup_datetime | lpep_dropoff_datetime | store_and_fwd_flag | RatecodeID | PULocationID | DOLocationID | passenger_count | trip_distance | fare_amount | extra | mta_tax | tip_amount | tolls_amount | ehail_fee | improvement_surcharge | total_amount | payment_type | trip_type | congestion_surcharge | cbd_congestion_fee
green_tripdata_2026-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2026-05.parquet,2026-09-15T23:38:05.062554+00:00,1102947,44921,VendorID | lpep_pickup_datetime | lpep_dropoff_datetime | store_and_fwd_flag | RatecodeID | PULocationID | DOLocationID | passenger_count | trip_distance | fare_amount | extra | mta_tax | tip_amount | tolls_amount | ehail_fee | improvement_surcharge | total_amount | payment_type | trip_type | congestion_surcharge | cbd_congestion_fee
